"latitude","longitude","name","type"
46.0326394581818,-58.9103889579838,"Gravel-crinoids_1","St Anns Bank Stratified eDNA"
46.0331813316427,-58.9183199451489,"Gravel-crinoids_2","St Anns Bank Stratified eDNA"
45.9450058808976,-59.3121797854631,"Gravel-crinoids_3","St Anns Bank Stratified eDNA"
45.8516177528011,-59.4434436761464,"Gravel-mud_1","St Anns Bank Stratified eDNA"
45.8549683380555,-59.3933656656073,"Gravel-mud_2","St Anns Bank Stratified eDNA"
45.9846385010597,-59.0400928342019,"Gravel-mud_3 - CP","Campod"
46.1914945463775,-59.0248335852359,"Mud_1","St Anns Bank Stratified eDNA"
45.9504465432291,-59.4562509186616,"Mud_2","St Anns Bank Stratified eDNA"
46.208,-59.0608,"Mud_3 - DT","eDNA depth transect"
45.9383695323867,-59.4735848720704,"Sand-SandDollars_1","St Anns Bank Stratified eDNA"
45.826856834147,-59.4682156111024,"Sand-SandDollars_2","St Anns Bank Stratified eDNA"
45.8464278841342,-59.4917199470438,"Sand-SandDollars_3","St Anns Bank Stratified eDNA"
45.9889,-59.2115,"Till-coraline algae_1 - DT","eDNA depth transect"
45.9971,-59.206,"Till-coraline algae_2 - DT","eDNA depth transect"
46.0092,-59.1976,"Till-coraline algae_3 - DT","eDNA depth transect"
45.9947,-59.2016,"Till-coraline algae_4 - DT","eDNA depth transect"
46.0033,-59.1867,"Till-coraline algae_5 - DT","eDNA depth transect"
45.9655893120069,-59.2515352272224,"Till-coraline algae_6 - CP","Campod"
46.062,-59.1614,"Till-gravel_1 - DT","eDNA depth transect"
46.135,-59.1112,"Till-gravel_2 - DT","eDNA depth transect"
46.0406,-59.1221,"Till-gravel_3 - DT","eDNA depth transect"
46.0922,-59.0324,"Till-gravel_4 - DT","eDNA depth transect"
46.1437,-58.9426,"Till-gravel_5 - DT","eDNA depth transect"
46.2317194811036,-59.1967245558923,"Till-gravel_6 - CP","Campod"
46.1458733937862,-59.0254727617958,"Till-gravel_7 - CP","Campod"
45.832368528447,-59.583551999048,"Gravel-mud_1","St Anns Bank Stratified eDNA"
45.845509866324,-59.5049616590084,"Gravel-mud_2","St Anns Bank Stratified eDNA"
45.8464504711905,-59.5217140619471,"Gravel-mud_3","St Anns Bank Stratified eDNA"
46.0383225963446,-59.3409357877005,"Mud_1","St Anns Bank Stratified eDNA"
46.0428254222404,-59.3534482735313,"Mud_2","St Anns Bank Stratified eDNA"
45.8812846305433,-59.5394619796448,"Mud_3","St Anns Bank Stratified eDNA"
45.8279892452408,-59.5509947902829,"Sand-SandDollars_1","St Anns Bank Stratified eDNA"
45.8264304818121,-59.5954047006549,"Sand-SandDollars_2","St Anns Bank Stratified eDNA"
45.8344062748268,-59.5326040935519,"Sand-SandDollars_3","St Anns Bank Stratified eDNA"
45.8812846305433,-59.5394619796448,"Till-coraline algae_1","St Anns Bank Stratified eDNA"
46.0404814107407,-59.5782663898088,"Till-coraline algae_2","St Anns Bank Stratified eDNA"
46.040868835959,-59.47860702861,"Till-coraline algae_3 - CP","Campod"
46.0323266839027,-59.4697481963214,"Till-coraline algae_4 - CP","Campod"
46.0616301230766,-59.3778036857594,"Till-gravel_1","St Anns Bank Stratified eDNA"
45.9858830227507,-59.6051237064588,"Till-gravel_2","St Anns Bank Stratified eDNA"
45.8673009369162,-59.5074056471443,"Till-gravel_3","St Anns Bank Stratified eDNA"
45.9974773937792,-59.0072897050215,"Gravel-mud_1","St Anns Bank Stratified eDNA"
45.9815185177334,-58.9946008576794,"Gravel-mud_2","St Anns Bank Stratified eDNA"
45.9653913241204,-58.9838941825911,"Gravel-mud_3","St Anns Bank Stratified eDNA"
45.9758614446411,-58.9877708408964,"Mud_1","St Anns Bank Stratified eDNA"
45.9781766950465,-58.9346625461405,"Mud_2","St Anns Bank Stratified eDNA"
45.985830520329,-58.9728871410367,"Mud_3","St Anns Bank Stratified eDNA"
45.9677816352303,-59.0236457434314,"Till-gravel_1","St Anns Bank Stratified eDNA"
45.932955194781,-58.938911841581,"Till-gravel_2","St Anns Bank Stratified eDNA"
45.9622245583452,-58.9238015359724,"Till-gravel_3","St Anns Bank Stratified eDNA"
46.040868835959,-59.47860702861,"NSB09_03_a","Campod videos"
46.0323266839027,-59.4697481963214,"SB09_03_a","Campod videos"
46.2317194811036,-59.1967245558923,"SAB 1","Campod photos"
46.1458733937862,-59.0254727617958,"SAB 2","Campod photos"
45.9655893120069,-59.2515352272224,"SB09_02","Campod photos"
45.9846385010597,-59.0400928342019,"SB09_01a","Campod photos"
