"year","SPECCD_ID","numcaught","wt"
"1",2015,"Alligatorfish",10,0.4
"2",2015,"American Plaice",455,35.4
"3",2015,"Anemones",79,5.9
"4",2015,"Arctic Eelpout",2,0.3
"5",2015,"Atlantic Cod",159,45.5
"6",2015,"Atlantic Sea Poacher",1,0.1
"7",2015,"Basket Star",56,9.2
"8",2015,"Blood Star",18,0.7
"9",2015,"Bobtail Squid",11,0.6
"10",2015,"Bristle Worm",2,0.2
"11",2015,"Brittle Star",278,1.7
"12",2015,"Coral NS",4,0.2
"13",2015,"Daubed Shanny",1,0.1
"14",2015,"Eelpouts",14,1.7
"15",2015,"Fourbeard Rockling",14,0.8
"16",2015,"Fourline Snakeblenny",4,0.3
"17",2015,"Halibut",2,10.9
"18",2015,"Hermit Crab",33,0.9
"19",2015,"Herring",6,1
"20",2015,"Horse Star",51,6.6
"21",2015,"Icelandic Scallop",5,0.5
"22",2015,"Jellyfish",16,1.2
"23",2015,"Lesser Toad Crab",26,1.645
"24",2015,"Longfin Hake",221,15.3
"25",2015,"Mackerel",1,0.1
"26",2015,"Marlinspike Grenadier",108,3.2
"27",2015,"Monkfish",4,27.7
"28",2015,"Mud Star",634,4.4
"29",2015,"Northern Stone Crab",38,7.108
"30",2015,"Octopus",13,0.6
"31",2015,"Purple Sunstar",6,1.2
"32",2015,"Redfish spp.",4627,301
"33",2015,"Sand Dollar",4,0.2
"34",2015,"Sculpin NS",26,0.7
"35",2015,"Sculpins",57,1.9
"36",2015,"Sea Cucumbers",19,7
"37",2015,"Sea Pen",2818,8.2
"38",2015,"Sea Potato",315,13.5
"39",2015,"Sea Spider",9,0.4
"40",2015,"Sea Squirts",1,0.1
"41",2015,"Sea Stars",98,3
"42",2015,"Sea Urchin",54,1.2
"43",2015,"Seaweeds",12,0.8
"44",2015,"Shortfin Squid",2,0.2
"45",2015,"Shrimp",689,7.48
"46",2015,"Silver Hake",4,0.4
"47",2015,"Skate Eggs",11,0.3
"48",2015,"Smooth Skate",20,6
