"SPEC","2015","2016","2017","2018","2019","2021","2022","2023"
"1","",23,33,53,10,19,8,6,8
"2","ACTINIARIA",79,73,48,57,84,49,91,89
"3","AGONIDAE",10,3,4,2,5,2,3,1
"4","ALOSA PSEUDOHARENGUS",NA,NA,NA,NA,NA,1,1,NA
"5","AMBLYRAJA RADIATA",68,59,63,61,82,89,60,63
"6","ANARHICHAS LUPUS",20,17,8,17,6,17,14,17
"7","ANARHICHAS MINOR",NA,1,NA,NA,NA,NA,NA,NA
"8","ANTHOZOA",4,2,1,1,4,4,1,6
"9","APHRODITA HASTATA",NA,NA,NA,1,1,NA,NA,NA
"10","ARGIS DENTATA",NA,2,NA,NA,NA,NA,3,NA
"11","ARTEDIELLUS",NA,NA,NA,NA,13,3,NA,NA
"12","ARTEDIELLUS ATLANTICUS",NA,NA,10,NA,NA,NA,NA,NA
"13","ARTEDIELLUS UNCINATUS",NA,NA,NA,8,NA,NA,NA,NA
"14","ASCIDIA",1,6,6,3,13,5,14,7
"15","ASTERIAS",NA,NA,NA,NA,NA,3,NA,NA
"16","ASTERIAS RUBENS",NA,NA,NA,NA,1,NA,NA,NA
"17","ASTEROIDEA",13,36,37,83,67,176,130,212
"18","ATLANTOPANDALUS PROPINQVUS",NA,NA,NA,NA,NA,NA,2,NA
"19","BOLOCERA",NA,NA,NA,NA,NA,NA,7,NA
"20","BOLTENIA",315,103,130,261,97,105,143,209
"21","BRISASTER FRAGILIS",37,82,11,126,52,14,3,1
"22","BUCCINUM",43,33,30,35,54,26,45,51
"23","CALATHURA BRACHIATA",NA,NA,NA,NA,NA,1,NA,NA
"24","CANCER BOREALIS",NA,1,NA,NA,NA,NA,3,3
"25","CANCER IRRORATUS",NA,1,NA,NA,1,NA,NA,NA
"26","CAUDINA ARENATA",NA,NA,NA,NA,NA,1,3,116
"27","CHIONOECETES OPILIO",430,294,409,515,997,383,203,311
"28","CHLAMYS ISLANDICA",5,NA,1,2,2,2,2,7
"29","CIRRIPEDIA",NA,2,NA,NA,NA,35,NA,NA
"30","CLUPEA HARENGUS",6,91,2,3,1,50,154,30
"31","CLYPEASTEROIDA",4,496,NA,204,10,30,173,86
"32","CRANGON",8,5,17,5,14,2,NA,NA
"33","CROSSASTER PAPPOSUS",11,5,8,14,13,14,15,23
"34","CTENODISCUS CRISPATUS",634,5330,3163,2113,497,187,2331,374
"35","CUCUMARIA FRONDOSA",NA,NA,NA,NA,NA,NA,9,20
"36","DECAPODA",NA,NA,NA,NA,4,8,NA,NA
"37","ENCHELYOPUS CIMBRIUS",14,7,2,2,2,2,5,3
"38","EUMESOGRAMMUS PRAECISUS",4,NA,2,NA,NA,1,1,2
"39","EUMICROTREMUS SPINOSUS",2,NA,NA,NA,1,NA,NA,1
"40","EURYALIDA",56,44,51,56,128,261,12,98
"41","FLUSTRA FOLIACEA",NA,NA,NA,NA,NA,NA,NA,4
"42","GADUS MORHUA",159,46,44,63,82,122,95,225
"43","GLYPTOCEPHALUS CYNOGLOSSUS",736,658,956,3520,1723,707,1318,1292
"44","GYMNOCANTHUS TRICUSPIS",NA,NA,NA,NA,NA,NA,2,15
"45","HALOCYNTHIA PYRIFORMIS",NA,NA,NA,NA,NA,NA,1,NA
"46","HEMITRIPTERUS AMERICANUS",NA,NA,NA,NA,NA,1,NA,NA
"47","HENRICIA SANGUINOLENTA",18,24,10,24,50,43,40,16
"48","HIPPASTERIA PHRYGIANA",51,66,65,104,79,132,159,179
"49","HIPPOGLOSSOIDES PLATESSOIDES",455,536,388,299,538,451,338,368
"50","HIPPOGLOSSUS HIPPOGLOSSUS",2,1,NA,1,NA,1,NA,1
"51","HOLOTHUROIDEA",19,26,12,38,8,28,NA,NA
"52","HORMATHIA",NA,NA,NA,NA,NA,NA,9,NA
"53","HYAS ARANEUS",6,1,8,1,9,6,1,NA
"54","HYAS COARCTATUS",26,41,29,60,29,21,9,29
"55","ILLEX ILLECEBROSUS",2,2,7,14,6,7,1,NA
"56","LEBBEUS POLARIS",NA,NA,NA,NA,NA,NA,2,NA
"57","LEPTAGONUS DECAGONUS",1,4,2,NA,16,NA,11,1
"58","LEPTASTERIAS (HEXASTERIAS) POLARIS",11,3,2,5,NA,NA,17,3
"59","LEPTOCLINUS MACULATUS",1,1,NA,1,2,3,NA,NA
"60","LEUCORAJA OCELLATA",NA,NA,NA,NA,NA,1,NA,NA
"61","LIPARIS",1,NA,NA,NA,NA,NA,NA,NA
"62","LITHODES MAJA",38,21,28,43,38,59,104,81
"63","LOPHIUS AMERICANUS",4,3,7,2,5,1,5,3
"64","LUMPENUS LAMPRETAEFORMIS",NA,NA,NA,NA,NA,3,NA,NA
"65","LYCODES",8,NA,1,NA,1,3,NA,2
"66","LYCODES PALLIDUS",NA,NA,2,NA,NA,NA,NA,NA
